,qtype,Question,Answer,Disease
307,treatment,What are the treatments for Cerebral Palsy ?,"Cerebral palsy cant be cured, but treatment will often improve a child's capabilities. In general, the earlier treatment begins the better chance children have of overcoming developmental disabilities or learning new ways to accomplish the tasks that challenge them.Early intervention, supportive treatments, medications, and surgery can help many individuals improve their muscle control. Treatment may include physical and occupational therapy, speech therapy, drugs to control seizures, relax muscle spasms, and alleviate pain; surgery to correct anatomical abnormalities or release tight muscles; braces and other orthotic devices; wheelchairs and rolling walkers; and communication aids such as computers with attached voice synthesizers.",cerebral palsy
308,outlook,What is the outlook for Cerebral Palsy ?,"Cerebral palsy doesnt always cause profound disabilities and for most people with CP the disorder does not affect life expectancy. Many children with CP have average to above average intelligence and attend the same schools as other children their age. Supportive treatments, medications, and surgery can help many individuals improve their motor skills and ability to communicate with the world..While one child with CP might not require special assistance, a child with severe CP might be unable to walk and need extensive, lifelong care.",cerebral palsy
309,research,what research (or clinical trials) is being done for Cerebral Palsy ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge of the brain and nervous system and to use that knowledge to reduce the burden of neurological disease.The NINDS is a component of the National Institutes of Health, the leading supporter of biomedical research in the world. Researchers supported by the NINDS are investigating the roles of mishaps early in brain development, including genetic defects, which are sometimes responsible for the brain malformations and abnormalities that result in cerebral palsy.Scientists are also looking at traumatic events in newborn babies brains, such as bleeding, epileptic seizures, and breathing and circulation problems, which can cause the abnormal release of chemicals that trigger the kind of damage that causes cerebral palsy. NINDS-supported researchers also hope to find ways to prevent white matter disease, the most common cause of cerebral palsy. To make sure children are getting the right kinds of therapies, studies are also being done that evaluate both experimental treatments and treatments already in use so that physicians and parents have valid information to help them choose the best therapy.",cerebral palsy
319,treatment,What are the treatments for Holoprosencephaly ?,There is no standard course of treatment for holoprosencephaly. Treatment is symptomatic and supportive.,holoprosencephaly
320,outlook,What is the outlook for Holoprosencephaly ?,The prognosis for individuals with the disorder depends on the severity of the brain and facial deformities.,holoprosencephaly
321,research,what research (or clinical trials) is being done for Holoprosencephaly ?,"The NINDS supports and conducts a wide range of studies that focus on identifying and learning more about the factors involved in normal brain development. Recent research has identified specific genes that cause holoprosencephaly. The knowledge gained from these fundamental studies provides the foundation for understanding how to develop new ways to treat, and potentially prevent, this disorder.",holoprosencephaly
331,treatment,What are the treatments for Giant Axonal Neuropathy ?,"Treatment is symptomatic. Children with GAN and their families usually work with a medical team that includes a pediatric neurologist, orthopedic surgeon, physiotherapist, psychologist, and speech and occupational therapists. The major goals of treatment are to maximize intellectual and physical development and minimize their deterioration as time passes. Many children with GAN begin with normal intellectual development and are able to attend a regular school program. Children should be monitored at least once a year to assess their intellectual abilities and to look for the presence of neurological deterioration.",giant axonal neuropathy
332,outlook,What is the outlook for Giant Axonal Neuropathy ?,"GAN generally progresses slowly as neurons degenerate and die. Most children have problems with walking in the early stages of the disorder. Later they may lose sensation, coordination, strength, and reflexes in their arms and legs. As time goes on, the brain and spinal cord may become involved, causing a gradual decline in mental function, loss of control of body movement, and seizures. Most children become wheelchair dependent in the second decade of life. Some children may survive into early adulthood.",giant axonal neuropathy
333,research,what research (or clinical trials) is being done for Giant Axonal Neuropathy ?,"The National Institute of Neurological Disorders and Stroke (NINDS) supports research related to GAN through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure inherited neurological disorders such as GAN.",giant axonal neuropathy
399,treatment,What are the treatments for Neuronal Migration Disorders ?,"Treatment is symptomatic, and may include anti-seizure medication and special or supplemental education consisting of physical, occupational, and speech therapies.",neuronal migration disorders
400,outlook,What is the outlook for Neuronal Migration Disorders ?,The prognosis for children with NMDs varies depending on the specific disorder and the degree of brain abnormality and subsequent neurological signs and symptoms.,neuronal migration disorders
401,research,what research (or clinical trials) is being done for Neuronal Migration Disorders ?,The NINDS conducts and supports a wide range of studies that explore the complex systems of brain development. These studies include the identification of the mechanism of action of the known causes of NMD as well as studies to identify further causes of disease. NIH-funded researchers work closely with parental support groups to bring research discoveries directly to patients. The knowledge gained from these studies provides the foundation for understanding abnormal development and offers hope for new ways to treat and prevent NMDs.,neuronal migration disorders
647,treatment,What are the treatments for Hydranencephaly ?,There is no definitive treatment for hydranencephaly. Treatment is symptomatic and supportive. Hydrocephalus may be treated with a shunt (a surgically implanted tube that diverts fluid from one pathway to another).,hydranencephaly
648,outlook,What is the outlook for Hydranencephaly ?,"The outlook for children with hydranencephaly is generally poor, and many children with this disorder die before age 1. However, in rare cases, children with hydranencephaly may survive for several years or more.",hydranencephaly
649,research,what research (or clinical trials) is being done for Hydranencephaly ?,"The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and, thus, offers hope for new means to treat and prevent developmental brain disorders, including hydranencephaly.",hydranencephaly
651,treatment,What are the treatments for Progressive Multifocal Leukoencephalopathy ?,"Currently, the best available therapy is reversal of the immune-deficient state, since there are no effective drugs that block virus infection without toxicity. Reversal may be achieved by using plasma exchange to accelerate the removal of the therapeutic agents that put patients at risk for PML. In the case of HIV-associated PML, immediately beginning anti-retroviral therapy will benefit most individuals. Several new drugs that laboratory tests found effective against infection are being used in PML patients with special permission of the U.S. Food and Drug Administration. Hexadecyloxypropyl-Cidofovir (CMX001) is currently being studied as a treatment option for JVC because of its ability to suppress JVC by inhibiting viral DNA replication.",progressive multifocal leukoencephalopathy
652,outlook,What is the outlook for Progressive Multifocal Leukoencephalopathy ?,"In general, PML has a mortality rate of 30-50 percent in the first few months following diagnosis but depends on the severity of the underlying disease and treatment received. Those who survive PML can be left with severe neurological disabilities.",progressive multifocal leukoencephalopathy
653,research,what research (or clinical trials) is being done for Progressive Multifocal Leukoencephalopathy ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to PML in laboratories at the NIH, and support additional research through grants to majorresearch institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders such as PML.",progressive multifocal leukoencephalopathy
683,treatment,What are the treatments for Anencephaly ?,There is no cure or standard treatment for anencephaly. Treatment is supportive.,anencephaly
684,outlook,What is the outlook for Anencephaly ?,"The prognosis for babies born with anencephaly is extremely poor. If the infant is not stillborn, then he or she will usually die within a few hours or days after birth.",anencephaly
685,research,what research (or clinical trials) is being done for Anencephaly ?,"Research supported by the NINDS includes studies to understand how the brain and nervous system normally develop. These studies contribute to a greater understanding of neural tube disorders, such as anencephaly, and open promising new avenues to treat and prevent neurological birth defects.",anencephaly
903,treatment,What are the treatments for Schizencephaly ?,"Treatment generally consists of physical therapy and drugs to prevent seizures. In cases that are complicated by hydrocephalus, a surgically implanted tube, called a shunt, is often used to divert fluid to another area of the body where it can be absorbed.",schizencephaly
904,outlook,What is the outlook for Schizencephaly ?,The prognosis for individuals with schizencephaly varies depending on the size of the clefts and the extent of neurological disabilities.,schizencephaly
905,research,what research (or clinical trials) is being done for Schizencephaly ?,The NINDS conducts and supports a wide range of studies that explore the mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how to prevent or treat developmental brain defects such as schizencephaly.,schizencephaly
1043,treatment,What are the treatments for Motor Neuron Diseases ?,"There is no cure or standard treatment for the MNDs. Symptomatic and supportive treatment can help patients be more comfortable while maintaining their quality of life. The drug riluzole (Rilutek), which as of this date is the only drug approved by the U.S. Food and Drug Administration to treat ALS, prolongs life by 2-3 months but does not relieve symptoms. Other medicines that may help reduce symptoms include muscle relaxants such as baclofen, tizanidine, and the benzodiazepines for spasticity; glycopyrrolate and atropine to treat excessive saliva; and anticonvulsants and nonsteroidal anti-inflammatory drugs to relieve pain. Panic attacks can be treated with benzodiazepines. Some patients may require stronger medicines such as morphine to cope with musculoskeletal abnormalities or pain in later stages of the disorders, and opiates are used to provide comfort care in terminal stages of the disease.
                
Physical and speech therapy, occupational therapy, and rehabilitation may help to improve posture, prevent joint immobility, slow muscle weakness and atrophy, and cope with swallowing difficulties. Applying heat may relieve muscle pain. Assistive devices such as supports or braces, orthotics, speech synthesizers, and wheelchairs help some patients retain independence. Proper nutrition and a balanced diet are essential to maintaining weight and strength.",motor neuron diseases
1044,outlook,What is the outlook for Motor Neuron Diseases ?,"Prognosis varies depending on the type of MND and the age of onset. Some MNDs, such as primary lateral sclerosis and Kennedy disease, are not fatal and progress slowly. Patients with spinal muscular atrophy may appear to be stable for long periods, but improvement should not be expected. Some MNDs, such as ALS and some forms of spinal muscular atrophy, are fatal.",motor neuron diseases
1045,research,what research (or clinical trials) is being done for Motor Neuron Diseases ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge of the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS is a component of the National Institutes of Health (NIH), the leading supporter of biomedical research in the world. Researchers are testing whether different drugs, agents, or interventions are safe and effective in slowing the progression of motor neuron diseasess. NIH is also conducting clinical trials to study drugs to stimulate muscle growth in Kennedys disease and to suppress endogenous retroviruses in individuals with ALS. A large NIH-led collaborative study is investigating the genes and gene activity, proteins, and modifications of adult stem cell models from both healthy people and those with ALS,spinal muscular atrophy, and other neurodegenerative diseases to better understand the function of neurons and other support cells and identify candidate therapeutic compounds.
                

                
conducts research related to the MNDs in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders such as the MNDs.",motor neuron diseases
1063,treatment,What are the treatments for Megalencephaly ?,There is no standard treatment for megalencephaly. Treatment will depend upon the disorder with which the megalencephaly is associated and will address individual symptoms and disabilities.,megalencephaly
1064,outlook,What is the outlook for Megalencephaly ?,The prognosis for infants and children with megalencephaly depends upon the underlying cause and the associated neurological disorders. The prognosis for children with hemimegalencephaly is poor.,megalencephaly
1065,research,what research (or clinical trials) is being done for Megalencephaly ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to megalencephaly in laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Much of this research explores the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies will provide a foundation for developing ways to prevent megalencephaly and the other cephalic disorders.,megalencephaly
1137,research,what research (or clinical trials) is being done for Cerebral Atrophy ?,"The NINDS funds research looking at many of the diseases and disorders that cause cerebral atrophy. Understanding the biological mechanisms that cause neurons to die in the brain will help researchers find ways to prevent, treat, and even cure the diseases that lead to cerebral atrophy.",cerebral atrophy
1147,treatment,What are the treatments for Iniencephaly ?,"There is no standard treatment for iniencephaly since most infants rarely live longer than a few hours. Medicine is based more on prevention using supplementation with folic acid. Numerous studies have demonstrated that mothers can reduce the risk of neural tube birth defects such as iniencephaly by up to 70 percent with daily supplements of at least 4 mg of folic acid. Pregnant women should avoid taking antiepileptic drugs, diuretics, antihistamines, and sulfa drugs, which have been shown to be associated with an increased risk of neural tube defects. Maternal obesity and diabetes are also known to increase the risk for these disorders.",iniencephaly
